------------
|DANGER LOG|
------------

Gun violence incidents near Disney land in range 5.0 km: 

id : 1018611, city : Anaheim, state : California, address : 900 block of S Citron St, Killed : 0, Injured : 1, Distance to You: 1.00
id : 505545, city : Santa Ana, state : California, address : 1500 block of S 9th St, Killed : 0, Injured : 1, Distance to You: 1.22
id : 311445, city : Anaheim, state : California, address : 1500 block of West Chanticleer Road, Killed : 0, Injured : 0, Distance to You: 1.30
id : 350538, city : Anaheim, state : California, address : Anaheim Boulevard and West Valencia Avenue, Killed : 1, Injured : 0, Distance to You: 1.66
id : 878730, city : Anaheim, state : California, address : Harbor Blvd and Orangwood Ave, Killed : 0, Injured : 0, Distance to You: 1.82
id : 138378, city : Garden Grove, state : California, address : 11500 block of West Street , Killed : 0, Injured : 1, Distance to You: 1.85
id : 871114, city : Anaheim, state : California, address : 500 S Clementine St, Killed : 0, Injured : 0, Distance to You: 1.99
id : 780512, city : Anaheim, state : California, address : Euclid St and W Palais Rd, Killed : 0, Injured : 0, Distance to You: 2.04
id : 734747, city : Anaheim, state : California, address : S Roberts St and W Juno Ave, Killed : 1, Injured : 1, Distance to You: 2.09
id : 521168, city : Anaheim, state : California, address : 1600 block of Dudley Avenue, Killed : 0, Injured : 1, Distance to You: 2.09
id : 302823, city : Anaheim, state : California, address : Ball Road and Euclid Street, Killed : 1, Injured : 0, Distance to You: 2.14
id : 448173, city : Anaheim, state : California, address : 240 East Orangewood Avenue, Killed : 1, Injured : 0, Distance to You: 2.15
id : 480358, city : Orange (county), state : California, address : Katella Avenue, Killed : 4, Injured : 3, Distance to You: 2.43
id : 517883, city : Anaheim, state : California, address : 1131 West Lincoln Avenue, Killed : 0, Injured : 1, Distance to You: 2.44
id : 794625, city : Anaheim, state : California, address : Harbor Blvd and Lincoln Ave, Killed : 0, Injured : 0, Distance to You: 2.45
id : 417923, city : Anaheim, state : California, address : 1500 block of West Embassy Street, Killed : 1, Injured : 0, Distance to You: 2.49
id : 434194, city : Anaheim, state : California, address : East Topaz Avenue, Killed : 1, Injured : 0, Distance to You: 2.58
id : 365855, city : Garden Grove, state : California, address : Chapman Avenue and Jacalene Lane, Killed : 0, Injured : 1, Distance to You: 2.69
